"user","id","title","text","tags","time"
52,1,Старт в оффшоре,&lt;p&gt;На каком флоте в оффшоре лучше стартовать ? сейчас так много разных типов судов. Я работаю на танкерах газовозах и интересно на какой тип судов в офшоре стоило бы ориентироватся.&amp;nbsp;&lt;/p&gt;,"оффшор,offshore,ahts,fpso,supply,rig,seismic,старт_в_оффшоре,стоит_ли_идти_в_оффшор",1455168073
37216,3,подводные лодки,&lt;p&gt;Откуда на подводной лодке берут воздух?&lt;/p&gt;,"подводная_лодка,воздух_по_субмарине,воздух_на_подводной_лодке",1455171158
39032,6,Расшифровка аббревиатур,"&lt;p&gt;Не совсем понимаю в терминалогиях. кто такие DPO, JDPO, SDPO, AHTS JackUp, якорезаводчики и другое. есть где ссылка почитать, или скиньте фаил. Спасибо!&lt;/p&gt;","DPO,JDPO,SDPO,AHTS_JackUp,термины,аббревиатура,сокращения,offshore",1455213379
39032,7,Как у вас проходит адаптации после рейса?,"&lt;p&gt;Приезжаю с рейса и начинаются несколько месяцев отпуска. Как у вас проходит адаптация? В море думаю&amp;nbsp;о доме, а дома, думаю о море. Кто как&amp;nbsp;с этим справляется?!&lt;/p&gt;","Адаптация,рейс,отдых,отпуск,климатическая_адаптация",1450985075
38905,8,Чем занимаетесь во время рейса?,"&lt;p&gt;Чем занимаетесь в свободное от работы время?! Какие развличения предпочитаете? Фильмы, сериалы, игры или наоборот изучение языка, качалка?!&amp;nbsp;&lt;/p&gt;","Отдых,Развлечения,Фильмы,Сериалы,Качалка,языки",1451685846
38901,9,Нарушения,&lt;p&gt;В коллективном договоре и мануалах компании четко прописаны мои должностные обязанности. Однако на борту старпом постоянно нагружает другими обязанностями и работами. Жалобы капитану не помогли. Где добиваться справедливости?&lt;/p&gt;,"переработка,контракт,нарушения_договора,нарушение_прав,перевыполнение",1450686856
38901,10,Смена флота,&lt;p&gt;Есть 12 месяцев плав. стажа работы на балкере. Скоро буду&amp;nbsp;получать диплом старшего помошника. Есть ли возможность перейти на танкерный флот без потери ранга?&lt;/p&gt;,"повышение_ранга,танкерный_флот,балкера,смена_флота",1451287090
53,11,Доступ к marlins test,"&lt;p&gt;Подскажите пожалуйста, каким образом можно получит доступ к marlins test?&lt;/p&gt;","marlins_test,марлинс,доступ",1456687756
39032,12,Кадетская программа,"&lt;p&gt;Подскажите,&amp;nbsp;какие конторы в Украине, Одессе предоставляют кадеткую программу?&lt;/p&gt;","Кадетскаяпрограмма,кадет,кадетская",1456088009
53,13,Связь с родными,"&lt;p&gt;Каким образом держите связь с вашими родными и близкими?! Антены, усители wi-fi, карточки?&lt;/p&gt;","Связь_с_родными,связь,антены,антена,уселитель_wifi,wifi,карточка",1452388497
38901,14,Справка о плавании,&lt;p&gt;Кто подписывает и заверяет справки о плавании и как правильно их заполнять?&lt;/p&gt;,"документы,справка,справкаоплавании,справка_о_плавании",1456736046
39032,15,"Какая разница между ""прибрежным"","" малым"",""дальним"" плаваньем?","&lt;p&gt;Что подразумевается под &quot;прибрежным&quot;,&quot; малым&quot; и &quot;дальним&quot; плаваньем?&lt;/p&gt;","прибрежноеплавание,дальнееплавание,малоеплавание",1456736392
39032,16,Расчет плавценза,&lt;p&gt;Как правильно рассчитывать необходимый плавценз для соответствующих званий?&lt;/p&gt;,"плавценз,звание,расчет_плавценза",1451905075
38901,17,Разница дипломов,&lt;p&gt;В чем отличие диплома штурмана дальнего плавания от диплома капитана малого плавания?&lt;/p&gt;,"диплом,малоеплавание,штурман,капитан,дальнее_плавание,диплом_штурмана,диплом_капитана",1456737164
38905,18,С дипломом 2 мех. в стармехи,&lt;p&gt;Можно ли с дипломом 2 мех. работать старшим механиком и на каких судах?&lt;/p&gt;,"суда,диплом,механик,стармех,старшиймеханик,2eng,2ймеханик",1454637403
38901,19,Опасные грузы,&lt;p&gt;В каких случаях моряку необходим сертификат &quot;Морская перевозка опасных грузов&quot; и кому он обязателен?&lt;/p&gt;,"сертификат,опасныегрузы,перевозка,морской_сертификат,перевозка_грузов,перевозка_опасных_грузов",1456730520
38901,20,Медицинские сертификаты,&lt;p&gt;Какие бывают сертификаты по медицинской подготовке и в чем их принципиальное отличие?&lt;/p&gt;,"сертификат,медицинскаяподготовка,медицина",1456737634
38905,21,Подготовка к использованию испарительной установки,&lt;p&gt;Какая операция должна выполняться в первую очередь при подготовке и вводе в действие испарительной установки?&lt;/p&gt;,"испарительнаяустановка,подготовка,исправительная_установка",1451030781
