"id","user_id","section_id","comment","time"
62,52,4,"Я слышал что сейчас затишье в оффшоре, но не думал что настолько. И раз ситуация так сильно изменилась изза цен на нефть, не думаю что дела в ближайшее время пойдут на поправку, когда в мире происходят такие сильные финансовые колебания, то все очень даже нескоро налаживается. Вряд ли цены на нефть в ближайшем будущем вернутся к предидущим",1455654186
64,39037,4,"Цена за баррель нефти, с периода июня 2015 по февраль 2016 года, опустилась с отметки 60$ до 35$ (за баррель), так что ситуация очевидная, пока на оффшоры не стоит засматриваться, продолжайте работать на старом месте. Удачи!).",1456754514
70,38901,77,"На счет Ви шипса, я поддерживаю, они серьезная контора.",1457089422
71,38905,87,"хочу дополнить, что в приоритете моряки с хорошим и увереным английским, у такого моряка больше шансов удачно пройти собеседование.",1457091943
72,38905,25,"У меня получилось попасть уже через  месяц, так как у меня были на руках уже все документы готовы",1457093990
73,39034,24,Наличие данного сертификата по законам Международной морской организации IMO (International Maritime Organization) является необходимым условием трудоустройства на круизные лайнеры.,1457096064
78,38903,94,"Вы не сможете находиться в Шенгенской зоне, если у вас нету полиса, который должен быть на все время пока вы там будете.",1457623260
79,38901,88,"Если судно и судовладелец страны, под чьим флагом ты ходишь экономично стабильные, успешные и развитые,то я дкмаю, что переживать не о чем!",1457623731
81,38901,78,"Согласен! У меня друг попал на &quot;хорошее &quot;судно, что через месяц он не захотел продолжать там работу и через 3 дня они заходили в порт и он улетел, но за свой счет.",1457624104
83,38906,23,"Если хотите можете предупредить руководство, а можете просто подождать пока вам выдадут зарплату и спокойно уходить.",1457625036
84,39033,103,"На круизных судах любая дискриминация строго воспрещается. Но если Вы столкнулись с этим,то обязаны сообщить начальству.И мерой наказания скорей всего будет списание с судна для правонарушителя.",1457625107
85,38906,91,По истечению срока действия одной визы в шенген ставится другая шенгенская виза.&lt;br /&gt;,1457625227
86,38905,91,"Можно только одновременно иметь, вроде, открытую визу в США и открытую визу в шенгенскую зону.",1457625364
90,39070,77,Благодарю,1457944086
91,39070,82,Спасибо,1457944108
96,39005,133,что за &quot;мякоть&quot; паруса ? ,1458160575
102,70130,156,Спасибо большое. И Вам удачи.,1458759645
105,39071,180,"Это неправда , я спросил не о судне лишенном возможности управляться , а про судно лежащее в дрейфе",1459686360
106,70130,191,Спасибо,1459927114
107,70287,191,"Выучи : мсс, мппсс, ppe, lsa, ffe, все про плоты и шлюпки вплоть до спуска,  обязанности 3ПК, все приборы на мостике и обязанности кадета. И ясно же все на английском.&lt;br /&gt;&lt;br /&gt;Это минимум, обязан знать. Удачи!",1459965574
108,52,217,Взрыв не на судне а в картере дизеля. Это разные вещи,1460638210
109,70371,222,Спасибо за ответ),1460791767
113,11566,226,Нельзя задавать вопросы в ответах. Используйте для этого коментарии,1461049306
114,70459,226,да,1461074037
115,70459,227,спасибо за полезную информацию,1461074796
116,70459,225,спасибо за полезную информацию,1461074802
119,11566,241,В ответах должны быть только ответы. Для комментариев есть кнопка &quot;комментарии&quot; под каждым ответом и вопросом.,1461211296
120,52,243,согласен очень много однотипных вопросов повторяется. Нужно пользоватся поиском перед тем как задавать вопрос.,1461313009
121,70582,243,спасибо,1461332815
122,70582,243,"и учту,что вы сказали)",1461332861
125,70371,269,Спасибо!),1461519156
134,70461,269,Обращайтесь),1461616282
159,70461,90,"Будем знать, где искать серебро))))",1463580261
160,70461,107,Вам очень повезло. ,1463598552
179,11566,300,неплохо бы пару фоток этого дела посмотреть,1463891054
206,70859,9671,"Я бы не против тоже так позаниматься,но для начала нужно получить образование!)",1464349685
207,70859,9670,Ты занимаешься там?,1464418648
233,11405,272289,"Особенно хорош этот ,так сказать банк, когда по фунтовому счету тебе выплачивают в гривне, по внутреннему курсу евро .... Дай бог им здоровья и чтобы они ни как не могли здохнуть !!!",1468840177
